Temperature,Pressure,Altitude,Day,Month,Year,Hour,Minute,Second,Latitude,Longitude,Operator Id,Message Counter,Step Counter,Flags,Position Estimation Inertial Magnetic X,Position Estimation Inertial Magnetic Y,Position Estimation Inertial X,Position Estimation Inertial Y,Position Estimation Inertial Z,Altitude Estimation Pressometer,Latitude Estimation GPS,Longitude Estimation GPS,GPS Estimation Quality,North Alignment Angle Inertial Path,Yaw Drift Inertial Path,CRC-CCITT,thesia_string
16.25,100960.77,30.36,19,9,2024,2,35,1,47.614861,-122.17788999999999,89,30,19,0049,-5.9,-0.2,-3.0,-5.1000000000000005,-4.0,6539.4,0.0,0.0,0,1.005615234375,0.0,72F8,59001E00130049FFFC5FFFFEFFFE2FFFCDFFD8FF72000000000000000000202E000072F8
16.28,100961.22,30.33,19,9,2024,2,35,2,47.61486,-122.17789099999999,89,31,21,0049,-6.300000000000001,-1.6,-2.1,-6.2,-3.7,6542.1,0.0,0.0,0,1.005615234375,0.0,E4A1,59001F00150049FFFC1FFFF0FFFEBFFFC2FFDBFF8D000000000000000000202E0000E4A1
16.32,100961.31,30.32,19,9,2024,2,35,3,47.614861999999995,-122.17788999999999,89,32,22,0049,-6.1000000000000005,-2.9000000000000004,-0.8,-6.7,-4.3,6542.1,0.0,0.0,0,1.005615234375,0.0,FDF4,59002000160049FFFC3FFFE3FFFF8FFFBDFFD5FF8D000000000000000000202E0000FDF4
16.35,100961.97,30.26,19,9,2024,2,35,4,47.614864,-122.177882,89,33,23,0049,-4.9,-3.5,0.30000000000000004,-6.0,-5.0,6542.9,0.0,0.0,0,1.005615234375,0.0,0B4F,59002100170049FFFCFFFFDD00003FFFC4FFCEFF95000000000000000000202E00000B4F
16.37,100961.81,30.28,19,9,2024,2,35,5,47.614866,-122.17786799999999,89,34,24,0049,-3.8000000000000003,-4.2,1.5,-5.4,-5.4,6542.9,0.0,0.0,0,1.005615234375,0.0,1033,59002200180049FFFDAFFFD60000FFFFCAFFCAFF95000000000000000000202E00001033
16.4,100962.33,30.23,19,9,2024,2,35,6,47.614872,-122.177852,89,35,25,0049,-3.8000000000000003,-4.2,1.5,-5.4,-5.4,6541.2,0.0,0.0,0,1.005615234375,0.0,9763,59002300190049FFFDAFFFD60000FFFFCAFFCAFF84000000000000000000202E00009763
16.43,100962.7,30.2,19,9,2024,2,35,7,47.614877,-122.177837,89,36,26,0049,-2.4000000000000004,-4.5,2.5,-4.5,-5.300000000000001,6547.3,0.0,0.0,0,1.005615234375,0.0,5422,590024001A0049FFFE8FFFD300019FFFD3FFCBFFC1000000000000000000202E00005422
16.45,100963.05,30.17,19,9,2024,2,35,8,47.614889,-122.17782799999999,89,37,27,0049,-1.5,-3.7,2.4000000000000004,-3.2,-5.6000000000000005,6548.9,0.0,0.0,0,1.005615234375,0.0,7DDD,590025001B0049FFFF1FFFDB00018FFFE0FFC8FFD1000000000000000000202E00007DDD
16.48,100961.52,30.3,19,9,2024,2,35,9,47.614897,-122.177824,89,38,28,0049,-1.0,-2.5,1.6,-2.2,-6.6000000000000005,6544.6,0.0,0.0,0,1.005615234375,0.0,450A,590026001C0049FFFF6FFFE700010FFFEAFFBEFFA6000000000000000000202E0000450A
16.5,100959.48,30.47,19,9,2024,2,35,10,47.614902,-122.17782,89,39,29,0049,-1.0,-1.1,0.4,-1.4000000000000001,-8.1,6546.4,0.0,0.0,0,1.005615234375,0.0,0767,590027001D0049FFFF6FFFF500004FFFF2FFAFFFB8000000000000000000202E00000767
16.52,100957.79,30.61,19,9,2024,2,35,11,47.614905,-122.17781799999999,89,40,29,0049,-1.0,-1.1,0.4,-1.4000000000000001,-8.1,6549.8,0.0,0.0,0,1.005615234375,0.0,45BB,590028001D0049FFFF6FFFF500004FFFF2FFAFFFDA000000000000000000202E000045BB
16.54,100956.33,30.73,19,9,2024,2,35,12,47.614906999999995,-122.17781699999999,89,41,30,0049,-0.7000000000000001,0.1,-0.5,-0.5,-8.3,6553.3,0.0,0.0,0,1.005615234375,0.0,448B,590029001E0049FFFF900001FFFFBFFFFBFFADFFFD000000000000000000202E0000448B
16.54,100953.79,30.95,19,9,2024,2,35,13,47.614912,-122.177814,89,42,32,0049,0.30000000000000004,0.30000000000000004,-0.1,0.5,-8.4,6547.3,0.0,0.0,0,1.005615234375,0.0,D47F,59002A002000490000300003FFFFF00005FFACFFC1000000000000000000202E0000D47F
16.59,100954.84,30.86,19,9,2024,2,35,14,47.614925,-122.177808,89,43,33,0049,0.30000000000000004,0.30000000000000004,-0.1,0.5,-8.4,6546.4,0.0,0.0,0,1.005615234375,0.0,DFE7,59002B002100490000300003FFFFF00005FFACFFB8000000000000000000202E0000DFE7
16.62,100955.75,30.78,19,9,2024,2,35,15,47.614937,-122.177804,89,44,33,0049,0.30000000000000004,0.30000000000000004,-0.1,0.5,-8.4,6548.2,0.0,0.0,0,1.005615234375,0.0,953F,59002C002100490000300003FFFFF00005FFACFFCA000000000000000000202E0000953F
16.65,100956.37,30.73,19,9,2024,2,35,16,47.614948999999996,-122.17780099999999,89,45,33,0049,0.30000000000000004,0.30000000000000004,-0.1,0.5,-8.4,6545.5,0.0,0.0,0,1.005615234375,0.0,CDD1,59002D002100490000300003FFFFF00005FFACFFAF000000000000000000202E0000CDD1
